 ID,Date,Water Level / Niveau d'eau (m),Grade,Symbol / Symbole,QA/QC,Discharge / Débit (cms),Grade,Symbol / Symbole,QA/QC
08MH149,2018-04-02T00:02:00-08:00,46.083,,,1,,,,
08MH149,2018-04-02T00:07:00-08:00,46.081,,,1,,,,
08MH149,2018-04-02T00:12:00-08:00,46.083,,,1,,,,
08MH149,2018-04-02T00:17:00-08:00,46.091,,,1,,,,
08MH149,2018-04-02T00:22:00-08:00,46.077,,,1,,,,
08MH149,2018-04-02T00:27:00-08:00,46.069,,,1,,,,
08MH149,2018-04-02T00:32:00-08:00,46.079,,,1,,,,
08MH149,2018-04-02T00:37:00-08:00,46.071,,,1,,,,
08MH149,2018-04-02T00:42:00-08:00,46.083,,,1,,,,
08MH149,2018-04-02T00:47:00-08:00,46.072,,,1,,,,
08MH149,2018-04-02T00:52:00-08:00,46.076,,,1,,,,
08MH149,2018-04-02T00:57:00-08:00,46.085,,,1,,,,
08MH149,2018-04-02T01:02:00-08:00,46.063,,,1,,,,
08MH149,2018-04-02T01:07:00-08:00,46.076,,,1,,,,
08MH149,2018-04-02T01:12:00-08:00,46.076,,,1,,,,
08MH149,2018-04-02T01:17:00-08:00,46.066,,,1,,,,
08MH149,2018-04-02T01:22:00-08:00,46.068,,,1,,,,
08MH149,2018-04-02T01:27:00-08:00,46.061,,,1,,,,
08MH149,2018-04-02T01:32:00-08:00,46.064,,,1,,,,
08MH149,2018-04-02T01:37:00-08:00,46.071,,,1,,,,
08MH149,2018-04-02T01:42:00-08:00,46.065,,,1,,,,
08MH149,2018-04-02T01:47:00-08:00,46.068,,,1,,,,
08MH149,2018-04-02T01:52:00-08:00,46.061,,,1,,,,
08MH149,2018-04-02T01:57:00-08:00,46.062,,,1,,,,
08MH149,2018-04-02T02:02:00-08:00,46.059,,,1,,,,
08MH149,2018-04-02T02:07:00-08:00,46.059,,,1,,,,
08MH149,2018-04-02T02:12:00-08:00,46.057,,,1,,,,
08MH149,2018-04-02T02:17:00-08:00,46.055,,,1,,,,
08MH149,2018-04-02T02:22:00-08:00,46.058,,,1,,,,
08MH149,2018-04-02T02:27:00-08:00,46.048,,,1,,,,
08MH149,2018-04-02T02:32:00-08:00,46.059,,,1,,,,
08MH149,2018-04-02T02:37:00-08:00,46.051,,,1,,,,
08MH149,2018-04-02T02:42:00-08:00,46.053,,,1,,,,
08MH149,2018-04-02T02:47:00-08:00,46.060,,,1,,,,
08MH149,2018-04-02T02:52:00-08:00,46.051,,,1,,,,
08MH149,2018-04-02T02:57:00-08:00,46.054,,,1,,,,
08MH149,2018-04-02T03:02:00-08:00,46.050,,,1,,,,
08MH149,2018-04-02T03:07:00-08:00,46.049,,,1,,,,
08MH149,2018-04-02T03:12:00-08:00,46.055,,,1,,,,
08MH149,2018-04-02T03:17:00-08:00,46.042,,,1,,,,
08MH149,2018-04-02T03:22:00-08:00,46.050,,,1,,,,
08MH149,2018-04-02T03:27:00-08:00,46.048,,,1,,,,
08MH149,2018-04-02T03:32:00-08:00,46.035,,,1,,,,
08MH149,2018-04-02T03:37:00-08:00,46.046,,,1,,,,
08MH149,2018-04-02T03:42:00-08:00,46.046,,,1,,,,
08MH149,2018-04-02T03:47:00-08:00,46.036,,,1,,,,
08MH149,2018-04-02T03:52:00-08:00,46.045,,,1,,,,
08MH149,2018-04-02T03:57:00-08:00,46.038,,,1,,,,
08MH149,2018-04-02T04:02:00-08:00,46.038,,,1,,,,
08MH149,2018-04-02T04:07:00-08:00,46.036,,,1,,,,
08MH149,2018-04-02T04:12:00-08:00,46.028,,,1,,,,
08MH149,2018-04-02T04:17:00-08:00,46.033,,,1,,,,
08MH149,2018-04-02T04:22:00-08:00,46.030,,,1,,,,
08MH149,2018-04-02T04:27:00-08:00,46.026,,,1,,,,
08MH149,2018-04-02T04:32:00-08:00,46.034,,,1,,,,
08MH149,2018-04-02T04:37:00-08:00,46.030,,,1,,,,
08MH149,2018-04-02T04:42:00-08:00,46.027,,,1,,,,
08MH149,2018-04-02T04:47:00-08:00,46.024,,,1,,,,
08MH149,2018-04-02T04:52:00-08:00,46.032,,,1,,,,
08MH149,2018-04-02T04:57:00-08:00,46.024,,,1,,,,
08MH149,2018-04-02T05:02:00-08:00,46.024,,,1,,,,
08MH149,2018-04-02T05:07:00-08:00,46.028,,,1,,,,
08MH149,2018-04-02T05:12:00-08:00,46.022,,,1,,,,
08MH149,2018-04-02T05:17:00-08:00,46.026,,,1,,,,
08MH149,2018-04-02T05:22:00-08:00,46.022,,,1,,,,
08MH149,2018-04-02T05:27:00-08:00,46.029,,,1,,,,
08MH149,2018-04-02T05:32:00-08:00,46.024,,,1,,,,
08MH149,2018-04-02T05:37:00-08:00,46.022,,,1,,,,
08MH149,2018-04-02T05:42:00-08:00,46.021,,,1,,,,
08MH149,2018-04-02T05:47:00-08:00,46.011,,,1,,,,
08MH149,2018-04-02T05:52:00-08:00,46.018,,,1,,,,
08MH149,2018-04-02T05:57:00-08:00,46.015,,,1,,,,
08MH149,2018-04-02T06:02:00-08:00,46.011,,,1,,,,
08MH149,2018-04-02T06:07:00-08:00,46.020,,,1,,,,
08MH149,2018-04-02T06:12:00-08:00,46.015,,,1,,,,
08MH149,2018-04-02T06:17:00-08:00,46.014,,,1,,,,
08MH149,2018-04-02T06:22:00-08:00,46.018,,,1,,,,
08MH149,2018-04-02T06:27:00-08:00,46.003,,,1,,,,
08MH149,2018-04-02T06:32:00-08:00,46.018,,,1,,,,
08MH149,2018-04-02T06:37:00-08:00,46.015,,,1,,,,
08MH149,2018-04-02T06:42:00-08:00,46.001,,,1,,,,
08MH149,2018-04-02T06:47:00-08:00,46.009,,,1,,,,
08MH149,2018-04-02T06:52:00-08:00,46.004,,,1,,,,
08MH149,2018-04-02T06:57:00-08:00,46.006,,,1,,,,
08MH149,2018-04-02T07:02:00-08:00,46.005,,,1,,,,
08MH149,2018-04-02T07:07:00-08:00,46.003,,,1,,,,
08MH149,2018-04-02T07:12:00-08:00,46.004,,,1,,,,
08MH149,2018-04-02T07:17:00-08:00,46.002,,,1,,,,
08MH149,2018-04-02T07:22:00-08:00,46.003,,,1,,,,
08MH149,2018-04-02T07:27:00-08:00,46.002,,,1,,,,
08MH149,2018-04-02T07:32:00-08:00,46.004,,,1,,,,
08MH149,2018-04-02T07:37:00-08:00,46.002,,,1,,,,
08MH149,2018-04-02T07:42:00-08:00,46.000,,,1,,,,
08MH149,2018-04-02T07:47:00-08:00,45.998,,,1,,,,
08MH149,2018-04-02T07:52:00-08:00,45.995,,,1,,,,
08MH149,2018-04-02T07:57:00-08:00,46.001,,,1,,,,
08MH149,2018-04-02T08:02:00-08:00,45.997,,,1,,,,
08MH149,2018-04-02T08:07:00-08:00,45.994,,,1,,,,
08MH149,2018-04-02T08:12:00-08:00,45.989,,,1,,,,
08MH149,2018-04-02T08:17:00-08:00,45.983,,,1,,,,
08MH149,2018-04-02T08:22:00-08:00,45.991,,,1,,,,
08MH149,2018-04-02T08:27:00-08:00,45.987,,,1,,,,
08MH149,2018-04-02T08:32:00-08:00,45.983,,,1,,,,
08MH149,2018-04-02T08:37:00-08:00,45.989,,,1,,,,
08MH149,2018-04-02T08:42:00-08:00,45.986,,,1,,,,
08MH149,2018-04-02T08:47:00-08:00,45.984,,,1,,,,
08MH149,2018-04-02T08:52:00-08:00,45.981,,,1,,,,
08MH149,2018-04-02T08:57:00-08:00,45.979,,,1,,,,
08MH149,2018-04-02T09:02:00-08:00,45.986,,,1,,,,
08MH149,2018-04-02T09:07:00-08:00,45.982,,,1,,,,
08MH149,2018-04-02T09:12:00-08:00,45.979,,,1,,,,
08MH149,2018-04-02T09:17:00-08:00,45.981,,,1,,,,
08MH149,2018-04-02T09:22:00-08:00,45.973,,,1,,,,
08MH149,2018-04-02T09:27:00-08:00,45.971,,,1,,,,
08MH149,2018-04-02T09:32:00-08:00,45.978,,,1,,,,
08MH149,2018-04-02T09:37:00-08:00,45.971,,,1,,,,
08MH149,2018-04-02T09:42:00-08:00,45.973,,,1,,,,
08MH149,2018-04-02T09:47:00-08:00,45.970,,,1,,,,
08MH149,2018-04-02T09:52:00-08:00,45.970,,,1,,,,
08MH149,2018-04-02T09:57:00-08:00,45.970,,,1,,,,
08MH149,2018-04-02T10:02:00-08:00,45.968,,,1,,,,
08MH149,2018-04-02T10:07:00-08:00,45.965,,,1,,,,
08MH149,2018-04-02T10:12:00-08:00,45.966,,,1,,,,
08MH149,2018-04-02T10:17:00-08:00,45.967,,,1,,,,
08MH149,2018-04-02T10:22:00-08:00,45.957,,,1,,,,
08MH149,2018-04-02T10:27:00-08:00,45.969,,,1,,,,
08MH149,2018-04-02T10:32:00-08:00,45.958,,,1,,,,
08MH149,2018-04-02T10:37:00-08:00,45.958,,,1,,,,
08MH149,2018-04-02T10:42:00-08:00,45.960,,,1,,,,
08MH149,2018-04-02T10:47:00-08:00,45.954,,,1,,,,
08MH149,2018-04-02T10:52:00-08:00,45.960,,,1,,,,
08MH149,2018-04-02T10:57:00-08:00,45.942,,,1,,,,
08MH149,2018-04-02T11:02:00-08:00,45.952,,,1,,,,
08MH149,2018-04-02T11:07:00-08:00,45.958,,,1,,,,
08MH149,2018-04-02T11:12:00-08:00,45.947,,,1,,,,
08MH149,2018-04-02T11:17:00-08:00,45.953,,,1,,,,
08MH149,2018-04-02T11:22:00-08:00,45.953,,,1,,,,
08MH149,2018-04-02T11:27:00-08:00,45.952,,,1,,,,
08MH149,2018-04-02T11:32:00-08:00,45.958,,,1,,,,
08MH149,2018-04-02T11:37:00-08:00,45.952,,,1,,,,
08MH149,2018-04-02T11:42:00-08:00,45.944,,,1,,,,
08MH149,2018-04-02T11:47:00-08:00,45.956,,,1,,,,
08MH149,2018-04-02T11:52:00-08:00,45.947,,,1,,,,
08MH149,2018-04-02T11:57:00-08:00,45.945,,,1,,,,
08MH149,2018-04-02T12:02:00-08:00,45.946,,,1,,,,
08MH149,2018-04-02T12:07:00-08:00,45.937,,,1,,,,
08MH149,2018-04-02T12:12:00-08:00,45.946,,,1,,,,
08MH149,2018-04-02T12:17:00-08:00,45.939,,,1,,,,
08MH149,2018-04-02T12:22:00-08:00,45.937,,,1,,,,
08MH149,2018-04-02T12:27:00-08:00,45.943,,,1,,,,
08MH149,2018-04-02T12:32:00-08:00,45.932,,,1,,,,
08MH149,2018-04-02T12:37:00-08:00,45.935,,,1,,,,
08MH149,2018-04-02T12:42:00-08:00,45.943,,,1,,,,
